Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;144.8;0.207
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;165.5;0.528
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;206.8;0.666
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;275.8;0.775
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;344.7;0.843
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;427.5;0.893
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;565.4;0.942
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;744.6;0.967
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;937.7;0.977
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.7;1137.6;0.983
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;262;0.308
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;275.8;0.423
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;303.4;0.588
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;358.3;0.728
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;496.4;0.854
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;634.3;0.919
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;744.6;0.944
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;827.4;0.954
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;999.7;0.966
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.9;1234.2;0.974
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;413.7;0.54
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;441.3;0.661
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;537.8;0.79
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;641.2;0.852
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;958.4;0.942
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;1337.6;0.966
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.6;1792.6;0.975
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;517.1;0.625
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;551.6;0.719
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;696.4;0.824
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;841.2;0.88
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;1151.4;0.935
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;1468.6;0.954
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;1840.9;0.965
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;2137.4;0.971
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.3;2564.8;0.976
Dataset 694;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;280.9;875.6;0.791
