Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;266.27;122.19
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;266.54;123.66
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;267.3;128.99
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;267.93;129.72
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;268.35;132.79
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;268.73;134.59
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;269.16;137.08
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;269.55;139.46
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;270.05;141.46
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;270.37;142.81
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;270.7;144.65
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;271.2;147.67
Dataset 89;HYDRATES OF ISO- AND NORMAL BUTANE AND THEIR MIXTURES;Rouher, O. S.[Oliver S.] and Barduhn, A. J.[Allen J.];Desalination 6, 57 ( - 73);1969;C4H10 + H2O in Hydrate + Nonpolar Liquid + Vapor;274.15;163.36
