Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;300;47677;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;297.8;34508;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;297.6;33612;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;295.2;21063;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;299.9;49125;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;288.6;6791;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;302.1;62225;0.986
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;294.3;6722;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;293.8;6722;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;296.5;13893;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;297.1;13962;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;298.2;23270;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;300.5;34577;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;302.6;48367;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;305;63328;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;303.1;49056;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;298.3;23821;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;296.7;13962;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;295.3;10583;0.954
Dataset 207;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;294.6;7688;0.954
