Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC4H10
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;277;254;0.651
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;279.6;427;0.445
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;282.3;703;0.313
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;284.7;1030;0.238
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;284.5;1540;0.182
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;290.8;2700;0.138
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;291.5;2970;0.135
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;293.2;3990;0.122
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;293.3;4100;0.12
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;294.8;5560;0.112
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;295.3;5760;0.11
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;298;9990;0.15
Dataset 842;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;298.6;11570;0.198
