Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC4H10
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;284.9;3470;0.012
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;287.5;4880;0.012
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;290;6950;0.012
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;274.4;703;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.8;1080;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.8;1390;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;283.3;2150;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;285.2;1740;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;287.2;3450;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;289.3;4560;0.025
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;293.6;10070;0.025
