Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC4H10
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.4;179;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.4;226;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.4;357;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.4;903;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.5;2406;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.7;5654;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;275.8;14251;0.999
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.2;683;0.957
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.3;1048;0.957
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.7;2179;0.957
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.9;4475;0.957
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.3;8232;0.957
Dataset 163;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.9;14024;0.957
