Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 229;Some prop. of mixed paraffinic & other olefinic hydrate;Reamer, H. H., Selleck, F. T. and Sage, B. H.;Trans. Am. Inst. Min., Metall. Pet. Eng. 195, 197-202;1952;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.2;413.7
Dataset 229;Some prop. of mixed paraffinic & other olefinic hydrate;Reamer, H. H., Selleck, F. T. and Sage, B. H.;Trans. Am. Inst. Min., Metall. Pet. Eng. 195, 197-202;1952;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.7;304.7
Dataset 229;Some prop. of mixed paraffinic & other olefinic hydrate;Reamer, H. H., Selleck, F. T. and Sage, B. H.;Trans. Am. Inst. Min., Metall. Pet. Eng. 195, 197-202;1952;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.3;240.6
