Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 918;Incipient equilibrium data for propane hydrate formation in aqueous solutions of sodium chloride, potassium chloride and calcium chloride;Englezos, P.[Peter] and Ngan, Y. T.[Yee Tak];J. Chem. Eng. Data 38, 250-3;1993;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.2;208
Dataset 918;Incipient equilibrium data for propane hydrate formation in aqueous solutions of sodium chloride, potassium chloride and calcium chloride;Englezos, P.[Peter] and Ngan, Y. T.[Yee Tak];J. Chem. Eng. Data 38, 250-3;1993;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.95;252
Dataset 918;Incipient equilibrium data for propane hydrate formation in aqueous solutions of sodium chloride, potassium chloride and calcium chloride;Englezos, P.[Peter] and Ngan, Y. T.[Yee Tak];J. Chem. Eng. Data 38, 250-3;1993;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.6;290
Dataset 918;Incipient equilibrium data for propane hydrate formation in aqueous solutions of sodium chloride, potassium chloride and calcium chloride;Englezos, P.[Peter] and Ngan, Y. T.[Yee Tak];J. Chem. Eng. Data 38, 250-3;1993;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.25;336
Dataset 918;Incipient equilibrium data for propane hydrate formation in aqueous solutions of sodium chloride, potassium chloride and calcium chloride;Englezos, P.[Peter] and Ngan, Y. T.[Yee Tak];J. Chem. Eng. Data 38, 250-3;1993;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.35;435
Dataset 918;Incipient equilibrium data for propane hydrate formation in aqueous solutions of sodium chloride, potassium chloride and calcium chloride;Englezos, P.[Peter] and Ngan, Y. T.[Yee Tak];J. Chem. Eng. Data 38, 250-3;1993;C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;278.3;545
