Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;277.5;780;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;278.1;840;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;279.9;1040;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;281.5;1380;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;283.3;1660;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;284.5;2100;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;286.5;2620;1
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;283.9;1810;0.984
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;285.7;2310;0.984
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;286.6;2710;0.984
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;287.8;3080;0.984
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;279.4;990;0.953
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;281.5;1340;0.953
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;283.8;1710;0.953
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;285.3;2170;0.953
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;286.4;2510;0.953
Dataset 132;Hydrate dissociation pressures of methane + ethane + water existence of a locus of minimum pressures;Holder, G. D.[Gerald D.] and Grigoriou, G. C.;J. Chem. Thermodyn. 12, 1093-104;1980;CH4 + C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;287.6;2990;0.953
