Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.7;565.4;0.22
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.6;696.4;0.202
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.5;868.7;0.189
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.3;1089.4;0.193
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.1;1406.5;0.246
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.9;1751.3;0.256
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;285.1;2392.5;0.317
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.5;854.9;0.428
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.4;1075.6;0.417
Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C2H6 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.2;1351.4;0.406
