Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.6;24931
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.2;36818
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;286.7;63708
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;291.5;101973
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;293;115487
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;294.3;128794
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;296.5;153477
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;297.7;169266
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;298.8;192364
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;299.7;207774
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;300.5;219598
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;302.5;268309
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;304.7;317641
Dataset 389;Hydrates at high pressures: I methane + water, argon + water, and nitrogen + water systems;Marshall, D. R.[Donald R.], Saito, S.[Shozaburo] and Kobayashi, R.[Riki];AIChE J. 10, 202-5;1964;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;305.5;328880
