Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 212;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Aqueous Liquid + Ice + Vapor;271.9;12666
Dataset 212;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Aqueous Liquid + Ice + Vapor;272.2;10639
Dataset 212;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Aqueous Liquid + Ice + Vapor;272.5;8207
Dataset 212;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Aqueous Liquid + Ice + Vapor;272.6;7397
