Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;285.63;55000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;287.87;69000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;289.47;78000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;290.8;88000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;291.96;101000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;292.9;113000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;294.6;127000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;295.61;139000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;296.62;152000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;297.32;162000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;297.86;169000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;298.47;180000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;299.31;195000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;299.92;206000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;300.49;219000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;301.86;240000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;302.64;256000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;303.08;265000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;303.82;280000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;304.23;294000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;304.43;304000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;304.56;306000
Dataset 285;Thermodynamic Stability and Structure of Nitrogen Hydrate Crystal;Sugahara, K.[Keisuke], Tanaka, Y., Sugahara, T.[Takeshi] and Ohgaki, K.[Kazunari];J. Supramol. Chem. 2, 365 ( - 368);2002;N2 + H2O in Hydrate sII + Aqueous Liquid + Vapor;305.46;324000
