;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);nC4H10/nC3H8;nCO2/nC3H8;nC2H6/nC3H8;nN2/nC3H8;nC3H8/nCH4;nC2H6/nCH4;nC4H10/nCH4;nCH4/nC3H8;nN2/nCH4;nCO2/nCH4;nH2S/nC3H8;nN2/nCO2;nCO2/nN2;C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;CH4;Vapor;H2S;H2O in Aqueous Liquid
1306;Dataset 856;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;291.8;3592.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.701;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1307;Dataset 857;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;289.8;2779.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.359;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1308;Dataset 858;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;287.9;2137.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1309;Dataset 859;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;291.7;3682.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.953;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1310;Dataset 860;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;283.8;1220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.156;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1311;Dataset 861;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;291.0;3296.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.439;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1319;Dataset 863;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;293.6;5268.0;0.0;0.0;0.0;0.0;0.9420000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1320;Dataset 864;Natural Gas Hydrates;carson, D. B.[Don B.] and Katz, D. L.[Donald L.];American Institute of Mining and Metallurgical Engineers Dallas Meeting, Dallas, TX, October, pp 1-8;1941;286.8;1765.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.307;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;1;0;1;1;0;1
1353;Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;275.95;561.2479;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08089;0.0;0.0;0.047080000000000004;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1354;Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;277.75;706.0416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08089;0.0;0.0;0.047080000000000004;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1355;Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;284.15;1418.9779999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08089;0.0;0.0;0.047080000000000004;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1356;Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;287.35;2023.664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08089;0.0;0.0;0.047080000000000004;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1357;Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;291.15;3366.798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08089;0.0;0.0;0.047080000000000004;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1358;Dataset 790;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;275.85;339.2309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08661;0.0;0.0;0.14782;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1359;Dataset 790;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;283.55;817.0501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08661;0.0;0.0;0.14782;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1360;Dataset 790;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;292.65;2813.134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08661;0.0;0.0;0.14782;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1361;Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;280.35;368.1897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1216;0.0;0.0;0.52079;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1362;Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;286.25;686.0463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1216;0.0;0.0;0.52079;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1363;Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;292.25;1444.489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1216;0.0;0.0;0.52079;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1364;Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;297.45;2554.574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1216;0.0;0.0;0.52079;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
1365;Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;300.95;4274.861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1216;0.0;0.0;0.52079;0.0;0.0;0;1;0;0;1;0;0;1;1;1;1
2517;Dataset 353;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;274.95;1565.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353;0.0;0;0;0;1;1;0;1;0;1;0;1
2518;Dataset 353;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;277.45;2060.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353;0.0;0;0;0;1;1;0;1;0;1;0;1
2519;Dataset 353;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;280.25;2900.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353;0.0;0;0;0;1;1;0;1;0;1;0;1
2520;Dataset 353;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;282.55;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353;0.0;0;0;0;1;1;0;1;0;1;0;1
2521;Dataset 353;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;283.55;5115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353;0.0;0;0;0;1;1;0;1;0;1;0;1
2522;Dataset 354;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;274.0;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.0;0;0;0;1;1;0;1;0;1;0;1
2523;Dataset 354;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;276.15;2600.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.0;0;0;0;1;1;0;1;0;1;0;1
2524;Dataset 354;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;280.65;4225.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.0;0;0;0;1;1;0;1;0;1;0;1
2525;Dataset 354;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;283.45;6450.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.0;0;0;0;1;1;0;1;0;1;0;1
2526;Dataset 354;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;284.25;7445.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.0;0;0;0;1;1;0;1;0;1;0;1
2527;Dataset 355;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;273.75;3195.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9286;0;0;0;1;1;0;1;0;1;0;1
2528;Dataset 355;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;276.0;4257.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9286;0;0;0;1;1;0;1;0;1;0;1
2529;Dataset 355;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;279.0;5867.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9286;0;0;0;1;1;0;1;0;1;0;1
2530;Dataset 355;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;281.0;7449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9286;0;0;0;1;1;0;1;0;1;0;1
2531;Dataset 355;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;282.0;8975.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9286;0;0;0;1;1;0;1;0;1;0;1
2532;Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;272.85;7240.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2137;0;0;0;1;1;0;1;0;1;0;1
2533;Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;274.05;8120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2137;0;0;0;1;1;0;1;0;1;0;1
2534;Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;277.45;10650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2137;0;0;0;1;1;0;1;0;1;0;1
2535;Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;278.65;11748.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2137;0;0;0;1;1;0;1;0;1;0;1
2536;Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;280.55;14220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2137;0;0;0;1;1;0;1;0;1;0;1
2537;Dataset 357;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;274.25;11020.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1311;0;0;0;1;1;0;1;0;1;0;1
2538;Dataset 357;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;275.65;13870.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1311;0;0;0;1;1;0;1;0;1;0;1
2539;Dataset 357;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;277.6;18100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1311;0;0;0;1;1;0;1;0;1;0;1
2540;Dataset 357;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;278.95;22230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1311;0;0;0;1;1;0;1;0;1;0;1
2541;Dataset 358;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;273.95;14085.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0;0;0;1;1;0;1;0;1;0;1
2542;Dataset 358;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;274.55;15400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0;0;0;1;1;0;1;0;1;0;1
2543;Dataset 358;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;277.0;20680.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0;0;0;1;1;0;1;0;1;0;1
2544;Dataset 358;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;278.25;24120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0;0;0;1;1;0;1;0;1;0;1
