;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);nC4H10/nC3H8;nCO2/nC3H8;nC2H6/nC3H8;nN2/nC3H8;nC3H8/nCH4;nC2H6/nCH4;nC4H10/nCH4;nCH4/nC3H8;nN2/nCH4;nCO2/nCH4;nH2S/nC3H8;nN2/nCO2;nCO2/nN2;C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;CH4;Vapor;H2S;H2O in Aqueous Liquid
10;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;284.2;3316.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;0;0;0;0;1
11;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;284.5;5130.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;0;0;0;0;1
12;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;284.9;8163.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;0;0;0;0;1
13;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;285.7;14700.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;0;0;0;0;1
14;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.7;1158.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
15;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.7;1186.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
16;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.7;1462.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
17;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.7;2234.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
18;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.7;4523.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
19;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.8;7074.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
