;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;H2O in Aqueous Liquid;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;Ice;CH4;H2S
19;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.8;7074.0;1;1;1;0;1;1;1;1;0;0;0;0;0;0
20;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.8;9715.0;1;1;1;0;1;1;1;1;0;0;0;0;0;0
21;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;276.63;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
22;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;271.74;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
23;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;266.67;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
24;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;264.2;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
25;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;276.82;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
26;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;267.05;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
27;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;260.37;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
28;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;255.93;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
