Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;672;0.903
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;424;0.765
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;393;0.727
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;365;0.7
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;303;0.516
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;279;0.42
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;279;0.366
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;269;0.352
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.19
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.083
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.081
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.054
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.046
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.037
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;245;0.021
Dataset 873;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.15;258;0
