Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.88;263;0.2375
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.45;350;0.2375
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.74;443;0.2375
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;279.11;560;0.2375
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;280.23;689;0.2375
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.45;270;0.371
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.91;343;0.371
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.08;419;0.371
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;278.65;536;0.371
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;280.16;691;0.371
Dataset 369;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;282.31;945;0.371
