Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;279.8;3032;0.0072
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;279.91;6996;0.0072
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.04;10271;0.0072
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.21;15250;0.0072
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.49;1834;0.0092
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.59;3166;0.0092
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.71;6989;0.0092
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.91;11002;0.0092
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.11;15394;0.0092
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.35;1756;0.022
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.57;3170;0.022
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.88;6003;0.022
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;285.09;2060;0.0446
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;285.3;3611;0.0446
