Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4;xC3H8
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;278.09;1416;0.9707;0.0293
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;283.52;2640;0.9707;0.0293
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;288.8;5080;0.9707;0.0293
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;292.87;9196;0.9707;0.0293
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;295.33;14966;0.9707;0.0293
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;296.59;19814;0.9707;0.0293
Dataset 575;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;297.53;24363;0.9707;0.0293
