Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;263.05;2645
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;264.04;2717
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;264.105;2724
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;264.115;2727
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;264.6;2762
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;265.15;2803
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;265.65;2845
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;266.15;2884
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;266.266;2892
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;267.12;2962
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;267.15;2965
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;267.83;3021
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;268.15;3045
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;268.275;3058
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;269.13;3131
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;269.153;3134
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;270.105;3213
Dataset 404;"THE GROWTH RATE OF ICE CRYSTALS: THE PROPERTIES OF CARBON DIOXIDE HYDRATE; A REVIEW OF PROPERTIES OF 51 GAS HYDRATES";Vlahakis, J. G.[John G.], Chen, H.-S.[Hsiao-Sheng], Suwandi, M. S.[Mohamad S.] and Barduhn, A. J.[Allen J.];Office of Saline Water, United States Department o the Interior The Growth Rate of Ice Crystals: The Properties of Carbon Dioxide Hydrate A Review of Properties of 51 Gas Hydrates 830;1972;CO2 + H2O in Hydrate sI + Nonpolar Liquid + Vapor;270.215;3221
