Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;271.8;1048
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;271.7;1041
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;271.4;1027
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;270.7;1000
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;270;972
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;268.9;924
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;267.5;869
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;264;752
Dataset 225;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;256.8;545
