Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 51;Phase Equilibrium Studies on Gas Hydrates  Formed from Various Guest Molecules and Powder Ice;Hachikubo, A.[Akihiro], Miyamoto, A.[Atsushi], Hyakutake, K.[Kinji], Abe, K. and Shoji, H.;The Fourth International Conference on Gas Hydrates, Yokohama, Japan, 19-23, pp 357-360;2002;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.93;1349
Dataset 51;Phase Equilibrium Studies on Gas Hydrates  Formed from Various Guest Molecules and Powder Ice;Hachikubo, A.[Akihiro], Miyamoto, A.[Atsushi], Hyakutake, K.[Kinji], Abe, K. and Shoji, H.;The Fourth International Conference on Gas Hydrates, Yokohama, Japan, 19-23, pp 357-360;2002;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.8;1806
Dataset 51;Phase Equilibrium Studies on Gas Hydrates  Formed from Various Guest Molecules and Powder Ice;Hachikubo, A.[Akihiro], Miyamoto, A.[Atsushi], Hyakutake, K.[Kinji], Abe, K. and Shoji, H.;The Fourth International Conference on Gas Hydrates, Yokohama, Japan, 19-23, pp 357-360;2002;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.05;2204
