Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 943;Clathrate Phase Equilibria for  the Water-Phenol-Carbon Dioxide System;Yoon, J.-H.[Ji-Ho] and Lee, H.[Huen];AIChE J. 43(7), 1884-1893;1997;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.4;1560
Dataset 943;Clathrate Phase Equilibria for  the Water-Phenol-Carbon Dioxide System;Yoon, J.-H.[Ji-Ho] and Lee, H.[Huen];AIChE J. 43(7), 1884-1893;1997;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.8;2100
Dataset 943;Clathrate Phase Equilibria for  the Water-Phenol-Carbon Dioxide System;Yoon, J.-H.[Ji-Ho] and Lee, H.[Huen];AIChE J. 43(7), 1884-1893;1997;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.1;2820
Dataset 943;Clathrate Phase Equilibria for  the Water-Phenol-Carbon Dioxide System;Yoon, J.-H.[Ji-Ho] and Lee, H.[Huen];AIChE J. 43(7), 1884-1893;1997;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.4;3890
