Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 581;Equilibrium Properties and Kinetics of Methane and Carbon Dioxide  Gas Hydrate Formation/Dissociation;Komai, T.[Takeshi], Yamamoto, Y.[Yoshitaka] and Ikegami, S.[Sanshiro];Fuel Chemistry Symposium on Gas Hydrates, American Chemical Society, San Francisco, CA, USA, April 13-15, pp 568-572;1997;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;278.15;1900
Dataset 581;Equilibrium Properties and Kinetics of Methane and Carbon Dioxide  Gas Hydrate Formation/Dissociation;Komai, T.[Takeshi], Yamamoto, Y.[Yoshitaka] and Ikegami, S.[Sanshiro];Fuel Chemistry Symposium on Gas Hydrates, American Chemical Society, San Francisco, CA, USA, April 13-15, pp 568-572;1997;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.05;2600
Dataset 581;Equilibrium Properties and Kinetics of Methane and Carbon Dioxide  Gas Hydrate Formation/Dissociation;Komai, T.[Takeshi], Yamamoto, Y.[Yoshitaka] and Ikegami, S.[Sanshiro];Fuel Chemistry Symposium on Gas Hydrates, American Chemical Society, San Francisco, CA, USA, April 13-15, pp 568-572;1997;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;283.05;4100
