Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 772;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.92;5030
Dataset 772;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.92;5620
Dataset 772;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.05;6470
Dataset 772;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.15;9010
Dataset 772;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.55;11980
Dataset 772;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.93;14360
