Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.6;1310
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.2;1390
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.2;1570
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.4;1810
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.5;2250
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.2;2520
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3040
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.3;3470
Dataset 117;Hydrate Formation of CO2-Rich Binary and Quaternary Gas  Mixtures in Aqueous Sodium Chloride Solutions;Fan, S.[Shuanshi] and Guo, T.-M.;J. Am. Chem. Soc. 44, 829-832;1999;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282;4020
