Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;283.2;4502
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;283.1;4468
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;282.3;3868
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;282;3689
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;281.9;3634
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;281.5;3475
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;281.1;3282
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.8;3158
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.5;3020
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.2;2923
Dataset 224;PHASE STUDIES OF THE TWO-COMPONENT CARBON DIOXIDE-WATER SYSTEM INVOLVING THE CARBON DIOXIDE HYDRATE;Larson, S. D.;Doctor of Philosophy in Chemistry Thesis, University of Illinois, Urbana, Illinois, USA;1955;CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.1;2861
