Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 770;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.59;2740
Dataset 770;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.1;4010
Dataset 770;HYDRATE FORMATION IN SYSTEMS CONTAINING METHANE,  ETHANE, PROPANE, CARBON DIOXIDE OR HYDROGEN SULFIDE  IN THE PRESENCE OF METHANOL;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 21, 145-155;1985;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.79;4360
