Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 670;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.23;4541
Dataset 669;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.25;6306
Dataset 669;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.59;8930
