Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 487;Experimental and modeling studies on the hydrate formation of CO2 and CO2-rich gas mixtures;Fan, S. S., Chen, G.-J.[Guang-Jin], Ma, Q. L. and Guo, T.-M.;Chem. Eng. Journal 78, 173-178;2000;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.7;1500
Dataset 487;Experimental and modeling studies on the hydrate formation of CO2 and CO2-rich gas mixtures;Fan, S. S., Chen, G.-J.[Guang-Jin], Ma, Q. L. and Guo, T.-M.;Chem. Eng. Journal 78, 173-178;2000;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.5;2030
Dataset 487;Experimental and modeling studies on the hydrate formation of CO2 and CO2-rich gas mixtures;Fan, S. S., Chen, G.-J.[Guang-Jin], Ma, Q. L. and Guo, T.-M.;Chem. Eng. Journal 78, 173-178;2000;CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.7;2780
