Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.12;101.33;0
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.23;108.22;0.125
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.23;108.54;0.126
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.23;123.96;0.507
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.23;124.55;0.505
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.23;130.05;0.498
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.13;137.09;0.81
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.23;149.43;0.907
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.18;149.24;0.909
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.13;152.04;0.958
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.08;152.13;0.958
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.18;153.7;0.959
Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;C3H8 + C4H10 + H2O in Hydrate sII + Ice + Vapor;272.12;171.32;1
