Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.1;910;0.168
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.1;1440;0.168
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.2;1550;0.168
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.3;2560;0.168
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.6;2790;0.168
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;279.9;1470;0.435
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;279.9;2300;0.435
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.2;5180;0.435
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.6;6550;0.435
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.3;2230;0.689
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.3;2900;0.689
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.4;5580;0.689
Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.5;7280;0.689
