Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xH2O
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;276.63;4138;0.305;0.0001111
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;271.74;4138;0.305;0.0000769
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;266.67;4138;0.305;0.000053
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;264.2;4138;0.305;0.0000439
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;276.82;4138;0.5;0.000113
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;267.05;4138;0.5;0.0000532
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;260.37;4138;0.5;0.0000296
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;255.93;4138;0.5;0.0000214
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;277.87;4138;0.75;0.0001101
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;275.93;4138;0.75;0.000098
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;269.65;4138;0.75;0.0000611
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;264.54;4138;0.75;0.00004
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;262.59;4138;0.75;0.0000345
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;261.09;4138;0.75;0.0000311
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;277.87;4138;0.895;0.0001076
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;266.84;4138;0.895;0.0000465
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;263.43;4138;0.895;0.0000346
Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;257.73;4138;0.895;0.0000226
