Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.87;655;0.72
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.93;531;0.72
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.48;455;0.72
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.87;496;0.557
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.37;565;0.557
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.65;607;0.557
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.98;648;0.557
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.37;717;0.557
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.76;496;0.541
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.43;593;0.541
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.98;655;0.541
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.59;765;0.541
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.65;848;0.541
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;273.87;441;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;274.15;469;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.04;586;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.76;689;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.21;827;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.26;848;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.48;869;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.52;1062;0.342
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.54;745;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;276.09;869;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.04;1138;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.21;1158;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;277.93;1220;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;278.54;1303;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;279.37;1427;0.322
Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;280.43;1558;0.322
