Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.04;1441;0.168
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.21;1551;0.168
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.32;2565;0.168
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;278.54;2792;0.168
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;279.93;2303;0.435
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.21;5178;0.435
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.59;6550;0.435
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.32;2903;0.689
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.37;5585;0.689
Dataset 173;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.48;7281;0.689
