Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xH2O
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;276.82;4136;0.5;0.000113
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;267.05;4136;0.5;0.0000532
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;260.37;4136;0.5;0.0000296
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;255.93;4136;0.5;0.0000214
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;277.87;4136;0.75;0.0001101
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;275.93;4136;0.75;0.000098
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;269.65;4136;0.75;0.0000611
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;264.54;4136;0.75;0.00004
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;262.59;4136;0.75;0.0000345
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;261.09;4136;0.75;0.0000311
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;277.87;4136;0.895;0.0001076
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;266.84;4136;0.895;0.0000465
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;263.43;4136;0.895;0.0000346
Dataset 701;Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Gas Processors Association Water Content of Ethane, Propane, and Their Mixtures in Equilibrium with Liquid Water or Hydrates 132;1991;C2H6 + C3H8 + H2O in Hydrate + Nonpolar Liquid;257.73;4136;0.895;0.0000226
