Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6
Dataset 546;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;279.63;1.08;0.501
Dataset 546;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;281.54;1.15;0.501
Dataset 546;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;283.46;1.15;0.501
Dataset 546;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;285.49;1.26;0.501
Dataset 546;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;287.41;1.31;0.501
