Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;273.68;499
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;274.7;565
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;275.64;635
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;276.62;715
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;277.61;812
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;278.66;926
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;279.65;1050
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;280.67;1191
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;281.63;1351
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;282.66;1546
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;283.49;1734
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;284.63;2032
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;285.48;2297
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;286.5;2698
Dataset 570;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;C2H6 + H2O in Hydrate + Aqueous Liquid + Vapor;287.61;3244
