Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nC4H10/nC3H8;nCH4/nC3H8;nC2H6/nC3H8;nN2/nC3H8
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.2;1565;0.319;0.043;0.602;0.0039
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.2;1620;0.319;0.043;0.602;0.0039
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.3;2461;0.319;0.043;0.602;0.0039
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.4;3813;0.319;0.043;0.602;0.0039
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.7;6102;0.319;0.043;0.602;0.0039
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.9;8232;0.319;0.043;0.602;0.0039
Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.2;11225;0.319;0.043;0.602;0.0039
