Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4200;0.245
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4220;0.241
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4310;0.215
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4320;0.217
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4340;0.203
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4370;0.203
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4370;0.183
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4440;0.179
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4500;0.169
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4570;0.144
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4580;0.141
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4630;0.143
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4750;0.104
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4850;0.09
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4990;0.065
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;5460;0
