Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;2841;0.539
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.9;3461;0.539
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.9;3434;0.545
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.9;4240;0.545
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.9;5171;0.545
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;284.7;6467;0.545
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.5;1993;0.777
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.2;3082;0.777
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.4;3199;0.274
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.4;3951;0.274
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281;5102;0.274
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.8;6895;0.274
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.5;2999;0.824
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.2;4275;0.824
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.8;5274;0.824
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;285.5;6895;0.824
Dataset 425;Gas Hydrates of Carbon Dioxide--Methane Mixtures;Unruh, C. H.[Carl H.] and Katz, D. L.[Donald L.];J. Petroleum Technology Transactions, 83-86;1949;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;285.7;6998;0.824
