Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;272.66;1500;0.4067
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.56;1500;0.6169
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.36;1500;0.9041
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.76;1500;1
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.56;2000;0.2634
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.36;2000;0.3375
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.86;2000;0.5648
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.56;2000;0.7954
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.16;2000;1
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.16;2600;0
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.36;2600;0.1854
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.76;2600;0.3972
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.96;2600;0.6195
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.26;2600;0.7843
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.16;2600;1
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.16;3500;0
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.06;3500;0.2009
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.26;3500;0.4265
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.16;3500;0.6087
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.76;3500;0.7617
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.46;3500;1
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.6;5000;0
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.46;5000;0.1971
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.56;5000;0.4089
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.26;5000;0.5989
Dataset 337;Multiple-Phase Hydrate Equilibria of the Ternary Carbon Dioxide, Methane, and Water  Mixtures;Seo, Y.-T. and Lee, H.[Huen];J. Phys. Chem. 105, 10084-10090;2001;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.56;5000;0.8052
