Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nH2S/nC3H8;nCH4/nC3H8
Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;280.35;368.1897;0.52079;0.1216
Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;286.25;686.0463;0.52079;0.1216
Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;292.25;1444.489;0.52079;0.1216
Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;297.45;2554.574;0.52079;0.1216
Dataset 791;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;300.95;4274.861;0.52079;0.1216
