Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nH2S/nC3H8;nCH4/nC3H8
Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;275.95;561.2479;0.04708;0.08089
Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;277.75;706.0416;0.04708;0.08089
Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;284.15;1418.978;0.04708;0.08089
Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;287.35;2023.664;0.04708;0.08089
Dataset 789;Hydrate Decomposition Conditions in the System  -  H,S-Methane-Propane;Schroeder, J., Kobayashi, R.[Riki] and Hildebrand, M. A.;Ind. Eng. Chem. Fundam. 22, 361 ( - 364);1983;CH4 + C3H8 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;291.15;3366.798;0.04708;0.08089
