Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;297.95;2030
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;298.95;2050
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;299.05;2060
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;299.35;2080
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;299.55;2080
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;299.65;2090
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;299.75;2090
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;300.05;2090
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;300.45;2120
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;300.75;2110
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;300.95;2130
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.05;2150
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.15;2170
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.25;2150
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.35;2170
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.45;2180
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.55;2200
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;301.65;2220
Dataset 720;PHASE BEHAVIOUR IN THE SYSTEM WATER-HYDROGEN SULPHIDE;Carroll, J. J.[John J.];Doctor of Philosophy Thesis, University of Alberta: Department of Chemical Engineering, Edmonton, Alberta, Canada;1990;H2S + H2O in Hydrate + Aqueous Liquid + Vapor;302.55;2230
