Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;302.7;2238.7
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;303.2;7825.5
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;303.7;14189.4
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;304.3;20953.2
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;304.8;27841
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;305.4;35066.7
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;302.7;2238.7
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;302.8;3447.4
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;303;6894.8
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;303.4;10342.1
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;303.7;13789.5
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;304;17236.9
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;304.3;20684.3
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;304.5;24131.7
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;304.8;27579
Dataset 18;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;305.1;31026.4
