Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 553;Experimental Studies on Hydrate Equilibrium Carbon Dioxide and Its Systems;Olsen, B.[Broch], Majumdar, A. J. and Bishnoi, P. R.[P. Raj];Int. J. The Soc. of Mat. Eng. for Resources 7, 17-23;1999;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.4;3074;0.4358
Dataset 553;Experimental Studies on Hydrate Equilibrium Carbon Dioxide and Its Systems;Olsen, B.[Broch], Majumdar, A. J. and Bishnoi, P. R.[P. Raj];Int. J. The Soc. of Mat. Eng. for Resources 7, 17-23;1999;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;276;3753;0.4473
Dataset 553;Experimental Studies on Hydrate Equilibrium Carbon Dioxide and Its Systems;Olsen, B.[Broch], Majumdar, A. J. and Bishnoi, P. R.[P. Raj];Int. J. The Soc. of Mat. Eng. for Resources 7, 17-23;1999;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.1;4822;0.46
Dataset 553;Experimental Studies on Hydrate Equilibrium Carbon Dioxide and Its Systems;Olsen, B.[Broch], Majumdar, A. J. and Bishnoi, P. R.[P. Raj];Int. J. The Soc. of Mat. Eng. for Resources 7, 17-23;1999;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.2;6561;0.469
Dataset 553;Experimental Studies on Hydrate Equilibrium Carbon Dioxide and Its Systems;Olsen, B.[Broch], Majumdar, A. J. and Bishnoi, P. R.[P. Raj];Int. J. The Soc. of Mat. Eng. for Resources 7, 17-23;1999;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.1;7266;0.4748
