Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nCO2/nN2
Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;272.85;7240;0.2137
Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.05;8120;0.2137
Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.45;10650;0.2137
Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.65;11748;0.2137
Dataset 356;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.55;14220;0.2137
