Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;284.82;4268;0.945
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.26;1151;0.94
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.82;814;0.93
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.71;3178;0.92
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.71;2186;0.92
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.93;676;0.92
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.48;3034;0.91
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.37;1772;0.91
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.87;1455;0.91
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.32;1255;0.9
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.93;1572;0.87
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.82;517;0.87
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.43;1207;0.86
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.37;827;0.85
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.48;758;0.85
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;286.15;3378;0.84
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.98;359;0.79
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.04;710;0.77
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.37;655;0.76
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.76;1917;0.75
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.21;979;0.75
