Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.7;2990;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.8;3310;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.6;3730;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.1;4360;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.2;5240;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.2;6580;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.2;8120;0.8926
Dataset 314;Experimental and Modeling Studies on the Hydrate Formation of a  Methane + Nitrogen Gas Mixture in the Presence of Aqueous  Electrolyte Solutions;Mei, D.[Donghai], Liao, J.[Jian], Yang, J.-T.[Ji-Tao] and Guo, T.-M.;Ind. Eng. Chem. Res. 35, 4342-4347;1996;CH4 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;285.3;10100;0.8926
