Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;279.9;1480;0.435
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;281.8;1740;0.523
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;284.3;2230;0.689
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;288.3;3330;1
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;282.8;2020;0.517
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;284.8;2320;0.716
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;286.1;2730;0.799
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;288.3;3330;1
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;288.7;2180;0.549
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;285.7;2730;0.726
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;286.3;3330;1
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;283.8;2380;0.506
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;285.1;2570;0.616
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;285.9;2820;0.677
Dataset 1026;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sI + Aqueous Liquid + Nonpolar Liquid + Vapor;286.3;3330;1
