Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nC4H10/nC3H8;nCO2/nC3H8;nC2H6/nC3H8
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280;1207;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280;1351;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280;1427;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.1;2399;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.2;3689;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.4;6129;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.7;9377;0.487;0.12;0.44
Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.9;14403;0.487;0.12;0.44
