Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xCO2;xH2O;xCH4;xC3H8
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;251.76;5861;0.07949;0.13039;0.0000253;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;251.76;5861;0.07949;0.13039;0.0000253;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;243.71;5847;0.07949;0.13039;0.0000105;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;243.71;5847;0.07949;0.13039;0.0000101;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;232.32;5840;0.07949;0.13039;0.0000017;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;232.32;5840;0.07949;0.13039;0.0000021;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;267.04;4502;0.07949;0.13039;0.000099;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;267.04;4502;0.07949;0.13039;0.000099;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;260.93;4461;0.07949;0.13039;0.0000569;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;260.93;4461;0.07949;0.13039;0.0000611;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;248.98;4495;0.07949;0.13039;0.0000215;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;248.98;4495;0.07949;0.13039;0.0000198;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;243.15;4482;0.07949;0.13039;0.0000103;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;243.15;4482;0.07949;0.13039;0.0000107;0.75022;0.03992
