Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;278.98;760;0.711
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.23;1540;0.477
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;283.17;2880;0.265
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;284.58;3680;0.229
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;287.95;6370;0.188
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;289.65;8580;0.188
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;292.27;13370;0.213
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;292.29;13510;0.216
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;292.95;14920;0.23
Dataset 63;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;293.8;16990;0.237
