Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.13;1980;0.99
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.33;5650;0.99
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.58;9390;0.99
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.86;13890;0.99
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.8;2850;0.968
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.25;7100;0.968
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.68;10440;0.968
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;285.49;5160;0.935
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;286.06;8410;0.935
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;286.32;11550;0.935
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;286.71;13330;0.935
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;287.86;8140;0.896
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.48;11060;0.896
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.81;12820;0.896
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;287.95;7340;0.886
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.15;8200;0.886
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.36;9110;0.886
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;290;9820;0.831
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;290.46;11250;0.831
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;290.87;13290;0.831
Dataset 64;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;291.3;15310;0.831
