Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;276.5;3680
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;278.5;4190
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;279.7;4900
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;281.3;6070
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;282.2;6550
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;283;7130
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;283.8;7730
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;284.5;8330
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;285.8;9550
Dataset 477;Measurements and Predictions of Phase Equilibria for Water + Natural Gas Components in Hydrate-Forming Conditions;Yang, S. O.;PhD Thesis, Korea University, Seoul;2000;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;286.3;9660
