Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;273.4;2680
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;274.6;3050
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;276.7;3720
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;278.3;4390
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;279.6;5020
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.9;5770
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;282.3;6650
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;283.6;7590
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;284.7;8550
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;285.7;9170
Dataset 706;Hydrates of Carbon Dioxide and Methane Mixtures;Adisasmito, S.[Sanggono], Frank, R. J. ,. I.[Robert. J., III] and Sloan, E. D. J.;J. Chem. Eng. Data 36(1), 68-71;1991;CH4 + H2O in Hydrate sI + Aqueous Liquid + Vapor;286.4;10570
