Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;291.86;20190
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;293.08;22910
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;293.46;24230
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;295.08;30460
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;295.94;34280
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;297.48;43460
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;297.58;42350
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;298.24;45640
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;298.68;50450
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;301.67;65970
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;302.7;68720
Dataset 468;The Effect of pressure on methane hydration in pure water and sodium chloride solutions;Jager, M. D. and Sloan, E. D.[E. Dendy];Fluid Phase Equilib. 185, 89-99;2001;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;303.48;72260
