Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 411;A Study of Natural Gas Hydrates;Falabella, B. J.[Benjamin James];Ph.D. Chemical Engineering Dissertation, University of Massachusetts;1975;CH4 + H2O in Hydrate sI + Ice + Vapor;148.8;5.33
Dataset 411;A Study of Natural Gas Hydrates;Falabella, B. J.[Benjamin James];Ph.D. Chemical Engineering Dissertation, University of Massachusetts;1975;CH4 + H2O in Hydrate sI + Ice + Vapor;159.9;12.13
Dataset 411;A Study of Natural Gas Hydrates;Falabella, B. J.[Benjamin James];Ph.D. Chemical Engineering Dissertation, University of Massachusetts;1975;CH4 + H2O in Hydrate sI + Ice + Vapor;168.8;21.06
Dataset 411;A Study of Natural Gas Hydrates;Falabella, B. J.[Benjamin James];Ph.D. Chemical Engineering Dissertation, University of Massachusetts;1975;CH4 + H2O in Hydrate sI + Ice + Vapor;178.2;42
Dataset 411;A Study of Natural Gas Hydrates;Falabella, B. J.[Benjamin James];Ph.D. Chemical Engineering Dissertation, University of Massachusetts;1975;CH4 + H2O in Hydrate sI + Ice + Vapor;191.3;90.13
