Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 1007;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + H2O in Hydrate sI + Ice + Vapor;262.4;1793
Dataset 1007;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + H2O in Hydrate sI + Ice + Vapor;264.2;1903
Dataset 1007;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + H2O in Hydrate sI + Ice + Vapor;266.5;2082
Dataset 1007;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + H2O in Hydrate sI + Ice + Vapor;268.6;2220
Dataset 1007;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + H2O in Hydrate sI + Ice + Vapor;270.9;2392
